证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,净利润,信用减值损失,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,投资性房地产折旧及摊销,使用权资产折旧及摊销,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失(收益以“－”号填列),固定资产报废损失(收益以“－”号填列),公允价值变动损失(收益以“－”号填列),财务费用(收益以“－”号填列),投资损失(收益以“－”号填列),递延所得税资产减少(增加以“－”号填列),递延所得税负债增加(减少以“－”号填列),存货的减少(增加以“－”号填列),经营性应收项目的减少(增加以“－”号填列),经营性应付项目的增加(减少以“－”号填列),其他,经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租赁固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物净增加额
921,海信家电,2022-01-01,A,0,,2342800977.37,-9779279.79,,61428800.86,852486075.8,,,235146575.92,49245974.0,-6261684.4,2726301.27,-34055721.68,120728936.31,-507115258.3,-172837580.29,-60545229.96,-2695292980.61,613381314.83,3486593515.42,35130023.52,4313780760.27,,,,2879176794.68,1617202572.26,,,1261974222.42
921,海信家电,2022-06-30,A,0,,1363087296.35,-12323601.24,,71809411.88,521045110.22,,,117975307.15,7645763.19,417676.97,3604167.89,-28338568.82,40469080.28,-276085241.22,16257887.37,-956926.68,1502093144.6,-2207343912.85,-457059051.92,57731035.1,720028578.27,,,,3814351610.2,2879176794.68,,,935174815.52
921,海信家电,2022-12-31,A,0,,3069234330.39,150871087.49,,275152336.56,1004561223.56,,,239965897.8,12543841.33,-1384257.12,5033286.99,-22522221.59,-117660554.9,-512712041.01,-86298559.65,-6037494.36,1835856733.51,-658220353.58,-1270029078.24,114028425.2,4032382602.38,,,,2478346075.4,2879176794.68,,,-400830719.28
921,海信家电,2023-01-01,A,0,,3069409060.7,150871087.49,,275152336.56,1004561223.56,,,239965897.8,12543841.33,-1384257.12,5033286.99,-22522221.59,-117660554.9,-512712041.01,-86473289.96,-6037494.36,1835856733.51,-658220353.58,-1270029078.24,114028425.2,4032382602.38,,,,2478346075.4,2879176794.68,,,-400830719.28
921,海信家电,2023-06-30,A,0,,2486477361.9,24090206.27,,87590895.34,500249321.38,,,86260000.09,7474900.84,-5350381.51,536936.03,195729875.25,-263815832.84,-411026049.4,-19293451.51,9625739.83,479302662.34,-5822434480.06,6424020226.83,32606238.56,3812044169.34,,,,2617231520.93,2478346075.4,,,138885445.53
921,海信家电,2023-12-31,A,0,,4791489923.92,43203421.13,,190783091.93,977660324.91,,,163327686.36,15168588.18,-5835013.43,9501666.15,-14926269.81,-160605545.01,-719432575.42,-128113219.33,-9744587.11,-200738889.61,-1837172947.31,7427239694.16,70052241.64,10611857591.35,,,,2877140400.54,2478346075.4,,,398794325.14
921,海信家电,2024-01-01,A,0,,4791489923.92,43203421.13,,190783091.93,977660324.91,,70052241.64,163327686.36,15168588.18,-5835013.43,9501666.15,-14926269.81,-160605545.01,-719432575.42,-128113219.33,-9744587.11,-200738889.61,-1837172947.31,7427239694.16,,10611857591.35,,,,2877140400.54,2478346075.4,,,398794325.14
921,海信家电,2024-06-30,A,0,,3030152740.6,-32676076.37,,17846374.49,475570158.32,,38943130.68,83957650.35,11309027.86,-857010.8,1045919.34,-170272953.38,-78565181.36,-418984235.75,-12467065.35,12608181.29,141491504.08,-5008961349.65,4009832668.12,,2099973482.47,,,,2749716134.21,2877140400.54,,,-127424266.33
921,海信家电,2024-12-31,A,0,,5126152974.24,-44200668.57,,180162809.58,882573818.74,,81684091.95,176209845.22,25097954.57,-3972039.23,9665981.19,-253160531.67,-13935070.46,-905644417.61,60645236.14,-9493048.54,-828045564.74,-2599731927.63,3248155498.06,,5132164941.24,,,,2191268606.55,2877140400.54,,,-685871793.99
921,海信家电,2025-06-30,A,0,,2988665863.17,-15511648.66,,73425223.25,506965747.69,,48734643.29,91934019.94,13261802.41,-21786782.78,3093444.94,-75736420.19,51338165.27,-511260446.36,-121382115.98,24540957.66,1310393244.77,-1684874087.5,2640187216.86,,5321988827.78,,,,3267001507.52,2191268606.55,,,1075732900.97
