证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,净利润,信用减值损失,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,投资性房地产折旧及摊销,使用权资产折旧及摊销,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失(收益以“－”号填列),固定资产报废损失(收益以“－”号填列),公允价值变动损失(收益以“－”号填列),财务费用(收益以“－”号填列),投资损失(收益以“－”号填列),递延所得税资产减少(增加以“－”号填列),递延所得税负债增加(减少以“－”号填列),存货的减少(增加以“－”号填列),经营性应收项目的减少(增加以“－”号填列),经营性应付项目的增加(减少以“－”号填列),其他,经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租赁固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物净增加额
333,美的集团,2022-01-01,A,0,,29015376000.0,383451000.0,,483420000.0,6182852000.0,,,,,-58257000.0,,166406000.0,-3119978000.0,-2365773000.0,-779754000.0,-647495000.0,-15201834000.0,-5453539000.0,24908660000.0,1578169000.0,35091704000.0,,,,40550039000.0,23548508000.0,,,17001531000.0
333,美的集团,2022-06-30,A,0,,16122397000.0,192891000.0,,230679000.0,3255456000.0,,,,,-18962000.0,,749742000.0,-1557613000.0,-607847000.0,-892692000.0,-353888000.0,8541659000.0,-5945656000.0,843457000.0,835087000.0,21394710000.0,,,,61310727000.0,40550039000.0,,,20760688000.0
333,美的集团,2022-12-31,A,0,,29810231000.0,513686000.0,,533363000.0,6507920000.0,,,,,59854000.0,,251171000.0,-3226913000.0,-208054000.0,-1896424000.0,-424557000.0,-423933000.0,-19423895000.0,21556429000.0,1028950000.0,34657828000.0,,,,51131968000.0,40550039000.0,,,10581929000.0
333,美的集团,2023-01-01,A,0,,29810231000.0,513686000.0,,533363000.0,6507920000.0,,,,,59854000.0,,251171000.0,-3226913000.0,-208054000.0,-1896424000.0,-424557000.0,-423933000.0,-19423895000.0,21556429000.0,1028950000.0,34657828000.0,,,,51131968000.0,40550039000.0,,,10581929000.0
333,美的集团,2023-06-30,A,0,,18528816000.0,221424000.0,,189060000.0,3300549000.0,,,,,-8525000.0,,103703000.0,-1653898000.0,-410154000.0,-1561223000.0,-99937000.0,14200052000.0,-13908092000.0,10301904000.0,580995000.0,29784674000.0,,,,47560795000.0,51131968000.0,,,-3571173000.0
333,美的集团,2023-12-31,A,0,,33745352000.0,198624000.0,,439777000.0,7348921000.0,,,,,60868000.0,,226492000.0,-3134637000.0,-463561000.0,-1865724000.0,-65601000.0,206064000.0,-9747941000.0,29692141000.0,1261836000.0,57902611000.0,,,,59887260000.0,51131968000.0,,,8755292000.0
333,美的集团,2024-01-01,A,0,,33745352000.0,198624000.0,,439777000.0,7348921000.0,,,,,60868000.0,,226492000.0,-3134637000.0,-463561000.0,-1865724000.0,-65601000.0,206064000.0,-9747941000.0,29692141000.0,1261836000.0,57902611000.0,,,,59887260000.0,51131968000.0,,,8755292000.0
333,美的集团,2024-06-30,A,0,,21141255000.0,42273000.0,,325371000.0,3836068000.0,,,,,-114007000.0,,-248977000.0,-1789154000.0,-545292000.0,-1112692000.0,-20078000.0,6703865000.0,-16195393000.0,20659223000.0,805708000.0,33488170000.0,,,,51500714000.0,59887260000.0,,,-8386546000.0
333,美的集团,2024-12-31,A,0,,38757214000.0,4595000.0,,1008107000.0,7823840000.0,,,,,-214895000.0,,-1302145000.0,-4025866000.0,-1442940000.0,-1556421000.0,64839000.0,-15794154000.0,-14349722000.0,50345636000.0,1193484000.0,60511572000.0,,,,55118728000.0,59887260000.0,,,-4768532000.0
333,美的集团,2025-06-30,A,0,,26647354000.0,346377000.0,,366345000.0,4270742000.0,,,,,20653000.0,,1369697000.0,-2880030000.0,-645870000.0,-1068051000.0,-34705000.0,13680715000.0,-16926805000.0,11575374000.0,559219000.0,37281015000.0,,,,81666269000.0,55118728000.0,,,26547541000.0
