证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,净利润,信用减值损失,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,投资性房地产折旧及摊销,使用权资产折旧及摊销,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失(收益以“－”号填列),固定资产报废损失(收益以“－”号填列),公允价值变动损失(收益以“－”号填列),财务费用(收益以“－”号填列),投资损失(收益以“－”号填列),递延所得税资产减少(增加以“－”号填列),递延所得税负债增加(减少以“－”号填列),存货的减少(增加以“－”号填列),经营性应收项目的减少(增加以“－”号填列),经营性应付项目的增加(减少以“－”号填列),其他,经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租赁固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物净增加额
157,中联重科,2022-01-01,A,0,,6386025693.63,,,749140346.1,665128346.97,,,233695124.12,4584127.77,-185552905.61,,-64633067.71,981480661.57,-481245880.51,354934320.94,-113650181.42,1148446673.05,-10537959846.15,3381979313.72,102353105.58,2624725832.05,,,,13190243110.65,10086205981.31,,,3104037129.34
157,中联重科,2022-06-30,A,0,,1758735098.69,,,218678425.97,349048354.77,,,117155718.08,3364774.72,-7773610.32,,-134261586.75,331341782.36,-34960150.86,25155792.9,18801179.42,-2338436037.11,-1318932879.84,2816789797.53,52605646.47,1857312306.03,,,,16253685325.45,13190243110.65,,,3063442214.8
157,中联重科,2022-12-31,A,0,,2384638065.19,,,1034940560.83,791238972.34,,,240121600.11,8197332.39,7604329.41,,11212576.12,936617495.25,-309398772.38,-761144418.4,455418301.45,-564306536.96,-1035222378.63,-897092999.86,121808145.42,2424632272.28,,,,13790932148.03,13190243110.65,,,600689037.38
157,中联重科,2023-01-01,A,0,,2384638065.19,,,1034940560.83,791238972.34,,121808145.42,240121600.11,8197332.39,7604329.41,,11212576.12,936617495.25,-309398772.38,-761144418.4,455418301.45,-564306536.96,-1035222378.63,-897092999.86,,2424632272.28,,,,13790932148.03,13190243110.65,,,600689037.38
157,中联重科,2023-06-30,A,0,,2220119657.71,,,272650014.71,492872046.53,,,120674575.01,4702962.01,14295574.19,,114973102.15,377102579.78,65458271.62,-337226220.28,-10514058.93,-6839082231.1,-2781178481.94,7152975788.38,63350951.14,931174530.98,,,,14795940465.92,13790932148.03,,,1005008317.89
157,中联重科,2023-12-31,A,0,,3770921694.76,,,883778927.82,996934636.48,,137866272.28,255331207.18,8431115.3,-232657934.16,,37012500.94,690702595.56,2204623.5,-395695614.16,-18387527.32,-7383090192.99,-3362803906.16,7322003344.34,,2712551743.37,,,,13605851906.73,13790932148.03,,,-185080241.3
157,中联重科,2024-01-01,A,0,,3770921694.76,,,883778927.82,996934636.48,,137866272.28,255331207.18,8431115.3,-232657934.16,,37012500.94,690702595.56,2204623.5,-395695614.16,-18387527.32,-7383090192.99,-3362803906.16,7322003344.34,,2712551743.37,,,,13605851906.73,13790932148.03,,,-185080241.3
157,中联重科,2024-06-30,A,0,,2542055781.11,,,389701754.32,495192502.33,,70917131.79,113636508.09,4464115.53,-636310051.19,,17384105.82,259256901.48,35072199.2,-197573803.7,-22900761.78,-632473744.0,929199869.8,-2543088112.28,,824534396.52,,,,13571550692.4,13605851906.73,,,-34301214.33
157,中联重科,2024-12-31,A,0,,4008812478.08,,,583887539.25,924105363.95,,185371262.85,231537009.49,11944320.57,-662720085.89,,37934928.08,571371845.22,15595452.99,-333964251.39,-111565872.88,646996480.59,4789295047.57,-8756546495.43,,2142055023.05,,,,12155419854.78,13605851906.73,,,-1450432051.95
157,中联重科,2025-06-30,A,0,,2899545393.01,,,319720800.14,556058744.66,,79507426.97,152943428.28,7870632.82,-548667876.93,,8895266.1,347447583.82,-48028447.46,44505308.68,81373870.37,-820233083.72,-3779979276.6,2450820506.2,,1751780276.34,,,,11271218699.77,12155419854.77,,,-884201155.0
