date,pct_change,current_price
2022-01-03,0.5522088353413723,6.009
2022-01-04,0.6989515726410378,6.051
2022-01-05,2.1979838043298727,6.184
2022-01-06,3.363518758085382,6.392
2022-01-07,0.0,6.392
2022-01-10,-0.9073842302878665,6.334
2022-01-11,-0.7893905904641563,6.284
2022-01-12,-0.9229789942711619,6.226
2022-01-13,0.12849341471250497,6.234
2022-01-14,-0.12832852101379855,6.226
2022-01-17,2.2646964343077336,6.367
2022-01-18,0.2670017276582337,6.384
2022-01-19,-0.5169172932330879,6.351
2022-01-20,-1.448590773106595,6.259
2022-01-21,-0.9266656015338048,6.201
2022-01-24,-4.4347685857119785,5.926
2022-01-25,1.265609179885252,6.001
2022-01-26,-1.9496750541576402,5.884
2022-01-27,-0.13596193065941176,5.876
2022-01-28,0.0,5.876
2022-01-31,0.0,5.876
2022-02-01,0.0,5.876
2022-02-02,0.0,5.876
2022-02-03,0.0,5.876
2022-02-04,2.825051055139549,6.042
2022-02-07,3.5915259847732584,6.259
2022-02-08,0.39942482824730785,6.284
2022-02-09,-0.3978357733927296,6.259
2022-02-10,1.0704585397028232,6.326
2022-02-11,-2.639898830224463,6.159
2022-02-14,0.8118201006656944,6.209
2022-02-15,0.5314865517796807,6.242
2022-02-16,-0.8010253123998723,6.192
2022-02-17,0.4037467700258368,6.217
2022-02-18,-0.5308026379282516,6.184
2022-02-21,-2.7005174644243124,6.017
2022-02-22,1.2464683397041654,6.092
2022-02-23,-2.5935653315823926,5.934
2022-02-24,0.28648466464440414,5.951
2022-02-25,-1.4115274743740525,5.867
2022-02-28,0.7158684165672335,5.909
2022-03-01,0.4230834320528176,5.934
2022-03-02,0.5561172901921152,5.967
2022-03-03,-0.9720127367186193,5.909
2022-03-04,-0.9815535623624916,5.851
2022-03-07,-3.5720389676978215,5.642
2022-03-08,-3.1017369727047273,5.467
2022-03-09,2.1401134077190465,5.584
2022-03-10,2.095272206303722,5.701
2022-03-11,-0.7367128573934401,5.659
2022-03-14,-4.559109383283266,5.401
2022-03-15,3.073504906498803,5.567
2022-03-16,0.8981498113885378,5.617
2022-03-17,-0.14242478191205388,5.609
2022-03-18,-0.5883401675878086,5.576
2022-03-21,0.591822094691552,5.609
2022-03-22,0.4457122481725806,5.634
2022-03-23,-1.6329428470003626,5.542
2022-03-24,-0.9022013713460786,5.492
2022-03-25,-0.2913328477785915,5.476
2022-03-28,-0.6208911614317025,5.442
2022-03-29,2.9217199558985607,5.601
2022-03-30,-1.196214961614006,5.534
2022-03-31,0.14456089627756796,5.542
2022-04-01,0.0,5.542
2022-04-04,0.0,5.542
2022-04-05,3.013352580295914,5.709
2022-04-06,-2.189525310912599,5.584
2022-04-07,6.572349570200564,5.951
2022-04-08,-2.5205847756679445,5.801
2022-04-11,0.2758145147388369,5.817
2022-04-12,-2.716176723396946,5.659
2022-04-13,1.024916062908643,5.717
2022-04-14,-2.6237537169844227,5.567
2022-04-15,-1.7962996227770867,5.467
2022-04-18,0.1646241082860822,5.476
2022-04-19,-1.5339663988312546,5.392
2022-04-20,-2.7818991097922963,5.242
2022-04-21,0.0,5.242
2022-04-22,-6.676840900419679,4.892
2022-04-25,-2.5551921504497144,4.767
2022-04-26,1.4054961191524828,4.834
2022-04-27,-3.2892014894497223,4.675
2022-04-28,3.4010695187165707,4.834
2022-04-29,0.0,4.834
2022-05-02,0.0,4.834
2022-05-03,0.0,4.834
