证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,营业总收入,营业收入,利息净收入,利息收入,利息支出,已赚保费,保险业务收入,其中：分保费收入,减：分出保费,减：提取未到期责任准备金,手续费及佣金净收入,其中：代理买卖证券业务净收入,其中:证券承销业务净收入,其中：受托客户资产管理业务净收入,手续费及佣金收入,手续费及佣金支出,其他业务收入,营业总成本,营业成本,退保金,赔付支出净额,赔付支出,减：摊回赔付支出,提取保险责任准备金净额,提取保险责任准备金,减：摊回保险责任准备金,保单红利支出,分保费用,税金及附加,业务及管理费,减：摊回分保费用,保险业务手续费及佣金支出,销售费用,管理费用,研发费用,财务费用,其中：利息费用(财务费用),其中：利息收入(财务费用),其他收益,投资收益,其中：对联营企业和合营企业的投资收益,其中：以摊余成本计量的金融资产终止确认收益,汇兑收益,净敞口套期收益,公允价值变动收益,资产减值损失,信用减值损失,资产处置收益,其他业务成本,其他业务利润,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置净损益,其中：非流动资产处置损失,利润总额,减：所得税费用,未确认的投资损失,影响净利润的其他项目,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,归属于母公司其他权益工具持有者的净利润,少数股东损益,基本每股收益,稀释每股收益,其他综合收益(损失),归属母公司所有者的其他综合收益的税后净额,归属于少数股东的其他综合收益的税后净额,综合收益总额,归属于母公司所有者的综合收益,归属于母公司其他权益工具持有者的综合收益总额,归属少数股东的综合收益
333,美的集团,2022-01-01,A,0,,343360825000.0,341233208000.0,2127043000.0,2127043000.0,,,,,,,574000.0,,,,574000.0,,,312777887000.0,264525999000.0,,,,,,,,,,1609384000.0,,,,28647344000.0,10266283000.0,12014907000.0,-4386111000.0,1357564000.0,5181658000.0,1307504000.0,2365773000.0,560679000.0,,,,-166406000.0,-483420000.0,-383451000.0,58257000.0,100081000.0,,33281195000.0,624744000.0,,188395000.0,,,33717544000.0,4702168000.0,,,29015376000.0,,,28573650000.0,,441726000.0,4.17,4.14,-237306000.0,,,28778070000.0,28366571000.0,,411499000.0
333,美的集团,2022-03-31,A,0,,90938820000.0,90381167000.0,557424000.0,557424000.0,,,,,,,229000.0,,,,229000.0,,,82511495000.0,70336385000.0,,,,,,,,,,388006000.0,,,,7599881000.0,2380911000.0,2926616000.0,-1155050000.0,417184000.0,1308788000.0,373682000.0,261189000.0,103807000.0,,,,-416409000.0,-117425000.0,-219124000.0,6945000.0,34746000.0,,8316183000.0,65080000.0,,18499000.0,,,8362764000.0,1134183000.0,,,7228581000.0,,,7177925000.0,,50656000.0,1.06,1.05,184270000.0,,,7412851000.0,7394235000.0,,18616000.0
333,美的集团,2022-06-30,A,0,,183663399000.0,182661009000.0,1001960000.0,1001960000.0,,,,,,,430000.0,,,,430000.0,,,165037325000.0,140424168000.0,,,,,,,,,,798939000.0,,,,14698373000.0,4951069000.0,5865033000.0,-1735418000.0,867954000.0,2764267000.0,644525000.0,607847000.0,263014000.0,,,,-749742000.0,-230679000.0,-192891000.0,18962000.0,35161000.0,,18724096000.0,162480000.0,,53628000.0,,,18832948000.0,2710551000.0,,,16122397000.0,,,15995496000.0,,126901000.0,2.34,2.34,406142000.0,,,16528539000.0,16466216000.0,,62323000.0
333,美的集团,2022-09-30,A,0,,271775057000.0,270366753000.0,1407722000.0,1407722000.0,,,,,,,582000.0,,,,582000.0,,,243771100000.0,206530717000.0,,,,,,,,,,1155550000.0,,,,21196708000.0,8044890000.0,8916512000.0,-2110455000.0,1269255000.0,4256895000.0,1274084000.0,862732000.0,478015000.0,,,,-1042032000.0,-195425000.0,-236992000.0,-3640000.0,37178000.0,,28662684000.0,292601000.0,,71626000.0,,,28883659000.0,4189933000.0,,,24693726000.0,,,24469921000.0,,223805000.0,3.59,3.58,2314988000.0,,,27008714000.0,26801938000.0,,206776000.0
333,美的集团,2022-12-31,A,0,,345708706000.0,343917531000.0,1790454000.0,1790454000.0,,,,,,,721000.0,,,,721000.0,,,311691527000.0,260538701000.0,,,,,,,,,,1565884000.0,,,,28716121000.0,11582664000.0,12618506000.0,-3387491000.0,1830915000.0,5837713000.0,1896113000.0,208054000.0,608278000.0,,,,-251171000.0,-533363000.0,-513686000.0,-59854000.0,57142000.0,,34763272000.0,395406000.0,,202747000.0,,,34955931000.0,5145700000.0,,,29810231000.0,,,29553507000.0,,256724000.0,4.34,4.33,1892922000.0,,,31703153000.0,31419393000.0,,283760000.0
333,美的集团,2023-01-01,A,0,,345708706000.0,343917531000.0,1790454000.0,1790454000.0,,,,,,,721000.0,,,,721000.0,,,311691527000.0,260538701000.0,,,,,,,,,,1565884000.0,,,,28716121000.0,11582664000.0,12618506000.0,-3387491000.0,1830915000.0,5837713000.0,1896113000.0,208054000.0,608278000.0,,,,-251171000.0,-533363000.0,-513686000.0,-59854000.0,57142000.0,,34763272000.0,395406000.0,,202747000.0,,,34955931000.0,5145700000.0,,,29810231000.0,29810231000.0,,29553507000.0,,256724000.0,4.34,4.33,1892922000.0,1865886000.0,27036000.0,31703153000.0,31419393000.0,,283760000.0
333,美的集团,2023-03-31,A,0,,96636184000.0,96262922000.0,373117000.0,373117000.0,,,,,,,145000.0,,,,145000.0,,,87373044000.0,73120434000.0,,,,,,,,,,428940000.0,,,590000.0,8444025000.0,2801492000.0,3282417000.0,-710597000.0,566174000.0,1503878000.0,339952000.0,266267000.0,106190000.0,,,,117441000.0,-135237000.0,-277955000.0,11215000.0,5743000.0,,9584823000.0,35234000.0,,7491000.0,,,9612566000.0,1466834000.0,,,8145732000.0,,,8041853000.0,,103879000.0,1.18,1.18,-306041000.0,,,7839691000.0,7815743000.0,,23948000.0
333,美的集团,2023-06-30,A,0,,197795614000.0,196988402000.0,806891000.0,806891000.0,,,,,,,321000.0,,,,321000.0,,,176388077000.0,147276358000.0,,,,,,,,,,1040376000.0,,,,17133216000.0,5670400000.0,6610954000.0,-1363661000.0,1525683000.0,3280782000.0,772764000.0,410154000.0,348545000.0,,,,-103703000.0,-189060000.0,-221424000.0,8525000.0,20434000.0,,22084793000.0,124256000.0,,101742000.0,,,22107307000.0,3578491000.0,,,18528816000.0,,,18232291000.0,,296525000.0,2.67,2.66,36373000.0,,,18565189000.0,18249393000.0,,315796000.0
333,美的集团,2023-09-30,A,0,,292379658000.0,291110510000.0,1268673000.0,1268673000.0,,,,,,,475000.0,,,,475000.0,,,260261351000.0,215876420000.0,,,,,,,,,,1325457000.0,,,,25346676000.0,9337069000.0,10013534000.0,-1661650000.0,2285139000.0,5113637000.0,1414310000.0,505083000.0,620966000.0,,,,118137000.0,-172481000.0,-181670000.0,-21985000.0,23845000.0,,33779701000.0,183740000.0,,181097000.0,,,33782344000.0,5495255000.0,,,28287089000.0,,,27717481000.0,,569608000.0,4.06,4.05,-543238000.0,,,27743851000.0,27236391000.0,,507460000.0
333,美的集团,2023-12-31,A,0,,373709804000.0,372037280000.0,1671908000.0,1671908000.0,,,,,,,616000.0,,,,616000.0,,,335012545000.0,273481373000.0,,,,,,,,,,1816502000.0,,,,34880875000.0,13476908000.0,14583311000.0,-3261656000.0,2808104000.0,6951446000.0,2082382000.0,463561000.0,680759000.0,,,,-226492000.0,-439777000.0,-198624000.0,-60868000.0,35232000.0,,40317441000.0,453397000.0,,493675000.0,,,40277163000.0,6531811000.0,,,33745352000.0,33745352000.0,,33719935000.0,,25417000.0,4.93,4.92,-249457000.0,-272491000.0,23034000.0,33495895000.0,33447444000.0,,48451000.0
