证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,营业总收入,营业收入,利息净收入,利息收入,利息支出,已赚保费,保险业务收入,其中：分保费收入,减：分出保费,减：提取未到期责任准备金,手续费及佣金净收入,其中：代理买卖证券业务净收入,其中:证券承销业务净收入,其中：受托客户资产管理业务净收入,手续费及佣金收入,手续费及佣金支出,其他业务收入,营业总成本,营业成本,退保金,赔付支出净额,赔付支出,减：摊回赔付支出,提取保险责任准备金净额,提取保险责任准备金,减：摊回保险责任准备金,保单红利支出,分保费用,税金及附加,业务及管理费,减：摊回分保费用,保险业务手续费及佣金支出,销售费用,管理费用,研发费用,财务费用,其中：利息费用(财务费用),其中：利息收入(财务费用),其他收益,投资收益,其中：对联营企业和合营企业的投资收益,其中：以摊余成本计量的金融资产终止确认收益,汇兑收益,净敞口套期收益,公允价值变动收益,资产减值损失,信用减值损失,资产处置收益,其他业务成本,其他业务利润,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置净损益,其中：非流动资产处置损失,利润总额,减：所得税费用,未确认的投资损失,影响净利润的其他项目,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,归属于母公司其他权益工具持有者的净利润,少数股东损益,基本每股收益,稀释每股收益,其他综合收益(损失),归属母公司所有者的其他综合收益的税后净额,归属于少数股东的其他综合收益的税后净额,综合收益总额,归属于母公司所有者的综合收益,归属于母公司其他权益工具持有者的综合收益总额,归属少数股东的综合收益
921,海信家电,2022-01-01,A,0,,67562603666.81,67562603666.81,,,,,,,,,,,,,,,,65691393364.71,54250065251.13,,,,,,,,,,399106248.38,,,,7672002974.36,1326886898.17,1986668028.13,56663964.54,40547610.76,81915216.18,413902690.78,507115258.3,150205515.55,,,,34055721.68,-61428800.86,9779279.79,6261684.4,,,2780896136.19,191496961.57,,55856093.22,,,2916537004.54,573736027.17,,,2342800977.37,,,972581491.39,,1370219485.98,0.71,0.71,74466916.41,,,2417267893.78,1028573196.54,,1388694697.24
921,海信家电,2022-03-31,A,0,,18303785340.27,18303785340.27,,,,,,,,,,,,,,,,17825338498.13,14912770352.34,,,,,,,,,,95678503.55,,,,1915571334.67,423238658.45,514377492.05,-36297842.93,12135238.63,13778989.16,70535498.33,142873766.63,59361189.84,,,,27313295.36,-20563190.2,4040306.69,243454.73,,,702889973.68,47127198.21,,2986041.48,,,747031130.41,175858536.09,,,571172594.32,,,266233233.32,,304939361.0,0.2,0.2,-31190593.21,,,539982001.11,255676581.66,,284305419.45
921,海信家电,2022-06-30,A,0,,38307238698.85,38307238698.85,,,,,,,,,,,,,,,,37092626365.51,30933036397.4,,,,,,,,,,241231648.04,,,,4060709601.69,856747306.06,1067706086.41,-66804674.09,40469080.28,26064751.83,187995603.35,276085241.22,83163879.24,,,,28338568.82,-71809411.88,12323601.24,-417676.97,,,1647128259.12,122068853.85,,34732054.84,,,1734465058.13,371377761.78,,,1363087296.35,,,620234267.46,,742853028.89,0.46,0.46,33260562.33,,,1396347858.68,664993232.45,,731354626.23
921,海信家电,2022-09-30,A,0,,57025835298.56,57025835298.56,,,,,,,,,,,,,,,,55001024647.5,45349215875.31,,,,,,,,,,361501072.89,,,,6408518212.43,1353516016.13,1623658876.38,-95385405.64,63021723.38,65458865.15,310835306.25,427460084.89,148477487.48,,,,15057989.87,-88780019.68,-1454371.12,523963.41,,,2688453604.68,218507475.26,,63129748.47,,,2843831331.47,544619478.94,,,2299211852.53,,,1069856609.92,,1229355242.61,0.79,0.79,27451389.61,,,2326663242.14,1105701248.01,,1220961994.13
921,海信家电,2022-12-31,A,0,,74115151039.29,74115151039.29,,,,,,,,,,,,,,,,71261426810.3,58783119200.03,,,,,,,,,,479236001.09,,,,8070720273.85,1821201420.18,2289313746.54,-182163831.39,88136778.11,79204113.83,402784997.75,512712041.01,253464775.11,-8626472.16,,,22522221.59,-275152336.56,-150871087.49,1384257.12,,,3367104322.41,531249812.33,,74544406.53,,,3823809728.21,754575397.82,,,3069234330.39,,,1434904374.84,,1634329955.55,1.05,1.05,20116688.31,,,3089351018.7,1462601821.77,,1626749196.93
921,海信家电,2023-01-01,A,1,2024-03-30,74115151039.29,74115151039.29,,,,,,,,,,,,,,,,71261426810.3,58783119200.03,,,,,,,,,,479236001.09,,,,8070720273.85,1821201420.18,2289313746.54,-182163831.39,88136778.11,79204113.83,402784997.75,512712041.01,253464775.11,-8626472.16,,,22522221.59,-275152336.56,-150871087.49,1384257.12,,,3367104322.41,531249812.33,,74544406.53,,,3823809728.21,754400667.51,,,3069409060.7,,,1434968215.84,,1634440844.86,1.05,1.05,20116688.31,,,3089525749.01,1462665662.77,,1626860086.24
921,海信家电,2023-03-31,A,0,,19430480828.07,19430480828.07,,,,,,,,,,,,,,,,18514783168.28,15326850493.06,,,,,,,,,,150229612.45,,,,1961030266.27,517205010.27,576469605.18,-17001818.95,40860181.34,14869805.1,79914554.31,236484537.13,121192423.77,-1020436.09,,,-7357486.64,-13615114.39,6605041.22,5084290.73,,,1222813482.15,69621877.96,,5797593.15,,,1286637766.96,244379221.19,,,1042258545.77,,,615296643.26,,426961902.51,0.45,0.45,60364000.97,,,1102622546.74,673675142.93,,428947403.81
921,海信家电,2023-06-30,A,0,,42943975619.38,42943975619.38,,,,,,,,,,,,,,,,40473806340.24,33698115348.34,,,,,,,,,,298912983.78,,,,4492848251.67,1024738874.9,1244057032.04,-284866150.49,75243787.91,27834239.17,197948250.99,411026049.4,186177825.35,5915437.05,,,-195729875.25,-87590895.34,-24090206.27,5350381.51,,,2777082984.18,199368441.95,,17782900.83,,,2958668525.3,472191163.4,,,2486477361.9,,,1497562724.59,,988914637.31,1.09,1.09,64434240.6,,,2550911602.5,1574569513.23,,976342089.27
921,海信家电,2023-09-30,A,0,,64899633432.35,64899633432.35,,,,,,,,,,,,,,,,61147871973.43,50557506517.39,,,,,,,,,,446454145.58,,,,6961934497.24,1573430173.51,1917522477.09,-308975837.38,109476293.82,41315723.69,380998349.28,563730701.76,278422992.35,22334779.3,,,-120813024.74,-106898905.91,-19935871.82,6117733.47,,,4454960440.96,244104701.23,,26112141.1,,,4672953001.09,710058922.56,,,3962894078.53,,,2426004797.61,,1536889280.92,1.78,1.78,24030695.72,,,3986924774.25,2466322329.01,,1520602445.24
921,海信家电,2023-12-31,A,0,,85600189224.06,85600189224.06,,,,,,,,,,,,,,,,81457336033.74,66696116231.21,,,,,,,,,,579207000.98,,,,9311027187.99,2296063851.05,2779508194.39,-204586431.88,144388196.47,56918785.34,598955858.57,719432575.42,343907407.14,-1048232.87,,,14926269.81,-190783091.93,-43203421.13,5835013.43,,,5248016394.49,498281308.38,,61740282.05,,,5684557420.82,893067496.9,,,4791489923.92,,,2837322754.58,,1954167169.34,2.08,2.08,107901029.9,,,4899390953.82,2943053128.82,,1956337825.0
