证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,营业总收入,营业收入,利息净收入,利息收入,利息支出,已赚保费,保险业务收入,其中：分保费收入,减：分出保费,减：提取未到期责任准备金,手续费及佣金净收入,其中：代理买卖证券业务净收入,其中:证券承销业务净收入,其中：受托客户资产管理业务净收入,手续费及佣金收入,手续费及佣金支出,其他业务收入,营业总成本,营业成本,退保金,赔付支出净额,赔付支出,减：摊回赔付支出,提取保险责任准备金净额,提取保险责任准备金,减：摊回保险责任准备金,保单红利支出,分保费用,税金及附加,业务及管理费,减：摊回分保费用,保险业务手续费及佣金支出,销售费用,管理费用,研发费用,财务费用,其中：利息费用(财务费用),其中：利息收入(财务费用),其他收益,投资收益,其中：对联营企业和合营企业的投资收益,其中：以摊余成本计量的金融资产终止确认收益,汇兑收益,净敞口套期收益,公允价值变动收益,资产减值损失,信用减值损失,资产处置收益,其他业务成本,其他业务利润,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置净损益,其中：非流动资产处置损失,利润总额,减：所得税费用,未确认的投资损失,影响净利润的其他项目,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,归属于母公司其他权益工具持有者的净利润,少数股东损益,基本每股收益,稀释每股收益,其他综合收益(损失),归属母公司所有者的其他综合收益的税后净额,归属于少数股东的其他综合收益的税后净额,综合收益总额,归属于母公司所有者的综合收益,归属于母公司其他权益工具持有者的综合收益总额,归属少数股东的综合收益
157,中联重科,2022-01-01,A,0,,67130626817.29,67130626817.29,,,,,,,,,,,,,,,,60697744879.42,51280066956.97,,,,,,,,,,374913532.87,,,,3473122732.74,1673484289.28,3864940712.45,31216655.11,939873165.6,985369288.52,996734402.89,300446345.75,154878472.13,-160718293.16,,,64633067.71,-3761943.76,-745378402.34,185552905.61,,,7231108313.73,170366986.0,,77812686.13,,,7323662613.6,937636919.97,,,6386025693.63,,,6269768140.19,,116257553.44,0.76,0.74,-224348780.74,,,6161676912.89,6045419359.45,,116257553.44
157,中联重科,2022-03-31,A,0,,10011935134.49,10011935134.49,,,,,,,,,,,,,,,,9322371683.88,8002468211.42,,,,,,,,,,57154317.61,,,,498474788.55,335976852.22,434069288.93,-5771774.85,286622501.99,141223860.47,337795336.27,40919287.01,48224860.2,-392961.46,,,59210694.83,-9820013.98,-94761658.1,3301790.93,,,1026208887.57,27965742.53,,12638189.17,,,1041536440.93,105482092.31,,,936054348.62,,,906366156.05,,29688192.57,0.11,0.11,-46691502.7,,,889362845.92,859674653.35,,29688192.57
157,中联重科,2022-06-30,A,0,,21299497985.01,21299497985.01,,,,,,,,,,,,,,,,19782468717.96,16873149362.66,,,,,,,,,,137865189.76,,,,1156049212.06,710255079.94,1121510217.3,-216360343.76,497393280.51,227290106.36,528873743.36,69977154.8,67304887.13,-33031571.74,,,134261586.75,233515.86,-218911941.83,7773610.32,,,2039236936.31,58428714.74,,22618805.85,,,2075046845.2,316311746.51,,,1758735098.69,,,1715822741.96,,42912356.73,0.2,0.2,-285049107.81,,,1473685990.88,1430773634.15,,42912356.73
157,中联重科,2022-09-30,A,0,,30648916221.19,30648916221.19,,,,,,,,,,,,,,,,28661065080.18,24221260263.98,,,,,,,,,,203464305.1,,,,1883793504.34,1109628067.15,1790279714.45,-547360774.84,773965604.81,352719485.62,641234436.05,35073310.19,82536578.13,-92346533.58,,,181960407.55,-1791108.08,-301567564.86,4470533.34,,,2547231155.2,99607398.35,,41716119.08,,,2605122434.47,389167970.44,,,2215954464.03,,,2168633307.95,,47321156.08,0.25,0.25,-503919320.47,,,1712035143.56,1664713987.48,,47321156.08
157,中联重科,2022-12-31,A,0,,41631497729.32,41631497729.32,,,,,,,,,,,,,,,,39283794568.27,32543063378.54,,,,,,,,,,288983794.4,,,,2635383786.74,1574122507.57,2507477462.41,-265236361.39,936568831.28,988472584.16,782962987.06,309398772.38,129940046.92,-59202549.4,,,-11212576.12,-588979136.94,-445961423.89,-7604329.41,,,2386307454.13,142818147.22,,58465137.51,,,2470660463.84,86022398.65,,,2384638065.19,,,2306047166.93,,78590898.26,0.27,0.27,-164794854.09,,,2219843211.1,2141252312.84,,78590898.26
157,中联重科,2023-01-01,A,0,,41631497729.32,41631497729.32,,,,,,,,,,,,,,,,39283794568.27,32543063378.54,,,,,,,,,,288983794.4,,,,2635383786.74,1574122507.57,2507477462.41,-265236361.39,936568831.28,988472584.16,782962987.06,309398772.38,129940046.92,-59202549.4,,,-11212576.12,-588979136.94,-445961423.89,-7604329.41,,,2386307454.13,142818147.22,,58465137.51,,,2470660463.84,86022398.65,,,2384638065.19,2384638065.19,,2306047166.93,,78590898.26,0.27,0.27,-164794854.09,-164794854.09,,2219843211.1,2141252312.84,,78590898.26
157,中联重科,2023-03-31,A,0,,10425507345.2,10425507345.2,,,,,,,,,,,,,,,,9582147601.15,7673823347.79,,,,,,,,,,86926276.96,,,,676840069.16,375177706.45,645455754.47,123924446.32,181685746.88,227944552.98,170732842.65,25707566.07,32091248.53,-2525129.6,,,4352543.64,-2187231.29,-104928085.59,-4286491.89,,,932750887.64,18181133.22,,6485846.09,,,944446174.77,85696434.97,,,858749739.8,,,810064655.82,,48685083.98,0.1,0.1,48112438.7,,,906862178.5,858177094.52,,48685083.98
157,中联重科,2023-06-30,A,0,,24075171438.22,24075171438.22,,,,,,,,,,,,,,,,21581576563.73,17359297667.76,,,,,,,,,,174163302.09,,,,1695350598.82,864180964.15,1585411497.95,-96827467.04,377102579.78,387402764.13,402045588.66,-65458271.62,74741621.91,-196803060.74,,,-114973102.15,-17529050.69,-255120964.02,-14295574.19,,,2428263500.48,56363925.1,,15504440.3,,,2469122985.28,249003327.57,,,2220119657.71,,,2040104177.2,,180015480.51,0.25,0.25,19351073.34,,,2239470731.05,2059455250.54,,180015480.51
157,中联重科,2023-09-30,A,0,,35514132109.66,35514132109.66,,,,,,,,,,,,,,,,32164475216.78,25656918241.65,,,,,,,,,,246995795.6,,,,2570093751.1,1267869572.41,2567568014.85,-144970158.83,566379365.74,596411739.6,469818994.63,49572346.39,114786910.11,-196803060.74,,,-126902135.32,-19698910.23,-376579682.64,-19294476.63,,,3326573029.08,73066661.46,,24277952.85,,,3375361737.69,312700585.24,,,3062661152.45,,,2855056429.34,,207604723.11,0.34,0.34,73046122.05,,,3135707274.5,2928102551.39,,207604723.11
157,中联重科,2023-12-31,A,0,,47074853106.11,47074853106.11,,,,,,,,,,,,,,,,43080603151.43,34109325725.79,,,,,,,,,,330135280.89,,,,3557407252.61,1903556446.5,3440642461.33,-260464015.69,690702595.56,913130955.33,848540932.7,-2204623.5,152537420.24,-184358844.39,,,-37012500.94,-90140756.32,-793638171.5,232657934.16,,,4152452769.28,122225492.04,,47118105.51,,,4227560155.81,456638461.05,,,3770921694.76,3770921694.76,,3506011590.67,,264910104.09,0.43,0.42,101409153.9,101409153.9,,3872330848.66,3607420744.57,,264910104.09
