date,symbol,open,close,high,low,volume,amount,turnover,macd,macds,macdh,kdjk,kdjd,kdjj,rsi_6,rsi_12,close_5_sma,close_10_sma,boll,boll_ub,boll_lb
2022-06-01,921,10.929,10.982,11.194,10.779,23875167,297835384.11,0.01752,0.0,0.0,0.0,49.63855421686738,49.879518072289116,49.15662650602391,,,10.982,10.982,10.982,,
2022-06-02,921,10.867,10.797,10.982,10.656,17667055,215356495.48,0.01296,-0.004150641025640667,-0.0023059116809114816,-0.0018447293447291851,41.82842895746548,47.195821700681236,31.09364347103397,0.0,0.0,10.8895,10.8895,10.8895,11.15112950903902,10.62787049096098
2022-06-03,921,10.797,10.797,10.797,10.797,0,0.0,0.0,-0.005288740514272305,-0.0035283825142560813,-0.001760358000016224,36.621678784530886,43.67110739529778,22.522821562997095,0.0,0.0,10.858666666666666,10.858666666666666,10.858666666666666,11.072286266266826,10.645047067066507
2022-06-06,921,10.814,10.726,10.823,10.603,24013747,291027498.28,0.01762,-0.008240184827478458,-0.005124521509250111,-0.0031156633182283476,31.351846770059556,39.56468718688504,14.926165936408594,0.0,0.0,10.8255,10.8255,10.8255,11.044640746249222,10.606359253750778
2022-06-07,921,10.647,10.453,10.664,10.294,27658970,327407798.6,0.0203,-0.02053377717700222,-0.009708426693612352,-0.010825350483389869,26.790120068928548,35.3064981475662,9.757363911653243,0.0,0.0,10.751000000000001,10.751000000000001,10.751000000000001,11.134434479409457,10.367565520590546
2022-06-08,921,10.4,10.373,10.497,10.197,17755671,208228490.85,0.01303,-0.030958773483117596,-0.015468452169993988,-0.015490321313123608,23.744399671495657,31.45246532220935,8.328268370068272,0.0,0.0,10.6292,10.688,10.688,11.14938227100746,10.226617728992542
2022-06-09,921,10.347,10.003,10.409,9.959,19256672,221434865.97,0.01413,-0.053872794574610694,-0.025187566697975974,-0.02868522787663472,17.0171841264762,26.64070492363163,-2.2298574678346625,0.0,0.0,10.470400000000001,10.590142857142856,10.590142857142856,11.257618128666257,9.922667585619456
2022-06-10,921,9.985,10.1,10.1,9.879,15137083,172285116.83,0.01111,-0.06375784478195534,-0.03445672983579635,-0.029301114946158995,16.9468173010475,23.409409049436917,4.02163380426866,13.565084745061569,11.104011188986064,10.331,10.528875,10.528875,11.237392516670244,9.820357483329754
2022-06-13,921,9.976,9.897,10.038,9.791,15863373,177884851.06,0.01164,-0.07970452229330505,-0.044909194368936776,-0.03479532792436827,13.816291125383525,20.211703074752453,1.0254672266456666,10.118173013033527,8.858344399943363,10.1652,10.458666666666666,10.458666666666666,11.243968519459589,9.673364813873743
2022-06-14,921,9.8,9.95,9.968,9.659,12762846,141965996.49,0.00937,-0.08712706190986275,-0.05436844744195163,-0.03275861446791112,16.542682367791556,18.988696172432153,11.650654758510363,16.74603780333601,13.82230895763476,10.064599999999999,10.4078,10.4078,11.215063030244789,9.600536969755211
2022-06-15,921,9.95,10.17,10.303,9.897,23879620,273994831.67,0.01752,-0.07954819561377491,-0.0598776324664751,-0.019670563147299806,25.66190279273158,21.213098379198627,34.55951161979749,39.11101804077997,30.871515333380785,10.024,10.326600000000001,10.386181818181818,11.16532843759658,9.607035198767056
2022-06-16,921,10.162,10.206,10.276,10.065,14162019,163267870.92,0.01039,-0.07093199851261822,-0.06225164669097518,-0.008680351821643041,32.77231091107646,25.066169223157903,48.18459428691357,42.16198865950894,33.22961194920566,10.0646,10.2675,10.371166666666666,11.121302088783999,9.621031244549332
2022-06-17,921,10.056,10.435,10.664,9.906,29098717,340520627.82,0.02135,-0.05066526041034791,-0.05979956480770395,0.00913430439735604,47.586184056803894,32.57284083437323,77.61287050166523,58.163710044670715,46.00989024336854,10.1316,10.2313,10.376076923076925,11.095149224281034,9.657004621872815
2022-06-20,921,10.435,10.797,10.973,10.364,34777772,423378731.97,0.02552,-0.013857167042441887,-0.05018838091686469,0.036331213874422806,60.5927173265552,41.91279966510055,97.95255264946451,72.56307029270592,59.40834741856976,10.3116,10.238399999999999,10.406142857142857,11.132718749581167,9.679566964704547
2022-06-21,921,10.805,10.841,10.903,10.7,29204174,358073325.21,0.02143,0.01668950088057919,-0.03632503130627953,0.05301453218685872,70.37992418421788,51.401841171472995,108.33609020970766,73.87460057864806,60.7014984196949,10.4898,10.2772,10.435133333333333,11.170409711561922,9.699856955104744
2022-06-22,921,10.903,10.585,10.929,10.55,15910728,193008337.1,0.01168,0.02413203956156984,-0.023883416817872937,0.04801545637944278,70.41056335771806,57.738081900221346,95.7555262727115,55.38895827158998,50.491872416001414,10.5728,10.298399999999999,10.4445,11.158785843809511,9.730214156190488
2022-06-23,921,10.664,10.647,10.682,10.453,13654931,163719777.43,0.01002,0.03334537834695084,-0.01217398481692729,0.04551936316387813,72.00379515577956,62.49331965207408,91.02474616319051,58.413273822456006,52.59829113381992,10.661,10.3628,10.456411764705884,11.154956701994648,9.75786682741712
2022-06-24,921,10.664,11.273,11.423,10.664,36756402,465206860.54,0.02697,0.07946116522133373,0.006489252179454643,0.07297191304187908,78.50139631700495,67.82934520705103,99.84549853691277,77.16756981380614,67.72408011350464,10.8286,10.4801,10.501777777777779,11.281163827421397,9.722391728134161
2022-06-27,921,11.432,11.202,11.529,11.052,24200991,309609276.26,0.01776,0.10938051642834346,0.027368405337658313,0.08201211109068514,78.98867597604252,71.54912213004819,93.86778366803117,72.70509148570606,65.15177279972254,10.909600000000001,10.6106,10.538631578947369,11.361382576928143,9.715880580966594
2022-06-28,921,11.229,11.705,11.89,11.132,28360029,371893519.48,0.02081,0.1639085801765372,0.05499495271108269,0.10891362746545451,82.88425172596382,75.32749866202006,97.99775785385134,81.70120144297101,73.05994916010972,11.0824,10.7861,10.59695,11.552656511875954,9.641243488124045
2022-06-29,921,11.599,11.996,12.252,11.599,34391808,465022711.38,0.02524,0.22332628347703576,0.08897462603301225,0.1343516574440235,84.95210416286193,78.53570049563402,97.78491149731775,85.10854864257384,76.43497516198258,11.3646,10.9687,10.64765,11.780526966423377,9.514773033576624
2022-06-30,921,12.155,12.508,12.684,11.882,26447203,369021603.86,0.01941,0.30101014382080926,0.13169696481043464,0.16931317901037463,87.43933380972403,81.50357826699735,99.31084489517741,89.31090562815487,81.00300687714572,11.736799999999999,11.1989,10.7332,12.139083816416974,9.327316183583026
2022-07-01,921,12.526,11.996,12.834,11.908,27795738,384393789.71,0.0204,0.32290488864289557,0.17016562848691003,0.15273926015598555,79.89445717512332,80.967204569706,77.74896238595798,66.71768552401751,66.86337604844469,11.881400000000001,11.355,10.79315,12.308484428955849,9.277815571044153
2022-07-04,921,11.908,12.023,12.217,11.82,17337256,235397101.73,0.01272,0.33795490230243175,0.203882707654576,0.13407219464785575,75.24253185887403,79.058980332762,67.60963491109808,67.24208819920739,67.19282499979363,12.045599999999999,11.4776,10.858,12.469213599482668,9.246786400517333
2022-07-05,921,12.04,11.688,12.129,11.582,23427264,312412313.06,0.01719,0.32240019777402296,0.2276760945527067,0.09472410322131625,67.4513421128319,75.1897675927853,51.97449115292508,54.465017088293784,59.223144082842396,12.0422,11.5623,10.91975,12.560010425407471,9.27948957459253
2022-07-06,921,11.688,11.705,11.97,11.555,19211481,256252234.88,0.0141,0.3077070523388201,0.2437308085054895,0.06397624383333061,60.95834481869285,70.44596000142116,41.983114453236226,54.985880960659145,59.48914438157984,11.984,11.6743,10.986349999999998,12.641239314155257,9.331460685844739
2022-07-07,921,11.688,11.74,11.979,11.599,12671718,169299088.66,0.0093,0.29514427981572133,0.2540384250551069,0.04110585476061446,53.50833163745256,64.80008388009828,30.9248271521611,56.223038596542715,60.074110446702456,11.830400000000001,11.7836,11.0732,12.692737373839567,9.453662626160433
2022-07-08,921,11.661,11.617,11.82,11.467,13273385,174413377.98,0.00974,0.27311360119819916,0.2578608539364746,0.015252747261724542,45.17085015548152,58.257005971892696,18.998538522659175,50.38344700368395,56.922937849960675,11.7546,11.818000000000001,11.149049999999999,12.717979702225792,9.580120297774206
2022-07-11,921,11.82,12.429,12.781,11.617,46258254,645754719.47,0.03395,0.31128270451431206,0.26856178293762717,0.04272092157668489,53.57159334920422,56.695201764329866,47.32437651895293,72.78020550130152,68.7341517934693,11.8358,11.940700000000001,11.27565,12.827722200572342,9.723577799427659
2022-07-12,921,12.196,12.724,13.279,12.178,45059650,640102276.29,0.03307,0.35889287492981126,0.2866503939518936,0.07224248097791763,58.83801587518692,57.409473134615546,61.69510135632966,77.25602169251317,71.7987361404524,12.043000000000001,12.042599999999998,11.41435,12.963409106615844,9.865290893384158
2022-07-13,921,12.482,12.223,12.697,12.097,34553995,474739935.54,0.02536,0.35527789983761693,0.30038950168228906,0.05488839815532787,53.1326286850032,55.98385831807809,47.43016941885341,57.8650126373922,60.76421423962379,12.146600000000001,12.0653,11.517,12.989040617288587,10.044959382711411
2022-07-14,921,12.67,11.766,12.805,11.578,48270204,643094124.6,0.03542,0.3147035427152467,0.3032545798376577,0.011448962877589008,40.92212037425525,50.963279003470475,20.839803115824793,45.393447564301425,52.70398794955494,12.1518,11.9911,11.595,12.933844120481307,10.256155879518694
2022-07-15,921,11.757,11.157,11.864,11.148,33934584,436473155.33,0.0249,0.23425729502450388,0.2894463708828421,-0.05518907585833821,27.42219255984294,43.11625018892796,-3.965922698327091,33.75838136830923,44.18375244899937,12.0598,11.9072,11.6311,12.873726403609455,10.388473596390545
2022-07-18,921,11.3,11.641,12.035,11.193,39867267,514323169.6,0.02926,0.20469734081403956,0.2724879659361978,-0.06779062512215822,25.993021224785018,37.40850720088031,3.1620492725944302,46.77024427034285,51.04525935361209,11.9022,11.869,11.673300000000001,12.852356732709401,10.494243267290601
2022-07-19,921,11.649,11.372,11.739,11.336,16984064,216744059.06,0.01246,0.1590876909969534,0.24979870709151908,-0.09071101609456567,20.832513133119626,31.88317584496008,-1.2688122905612786,41.35272085671146,47.50455547775407,11.6318,11.837399999999999,11.699850000000001,12.822561993813476,10.577138006186527
2022-07-20,921,11.39,11.408,11.479,11.309,12532107,159442328.37,0.0092,0.12428636101533108,0.22468808901482173,-0.10040172799949065,17.95529031336709,27.24054733442908,-0.615223728756888,42.423761409868995,48.030837687827976,11.4688,11.8077,11.741,12.745800058665768,10.736199941334231
2022-07-21,921,11.417,10.987,11.426,10.969,22653201,280708787.4,0.01662,0.0638303951057182,0.192508195855093,-0.1286778007493748,12.229933801984995,22.237009490281054,-7.784217574607126,33.76928572097721,42.584364181269734,11.313,11.7324,11.758000000000001,12.694017318778146,10.821982681221856
2022-07-22,921,10.996,11.121,11.148,10.79,15978982,196409547.96,0.01173,0.025952369391058383,0.15919011066672384,-0.13323774127566546,12.586127021063534,19.020048667208545,-0.281716271226486,38.556792666045965,44.75939263478969,11.3058,11.6828,11.750399999999999,12.705276547545612,10.795523452454386
2022-07-25,921,11.166,11.202,11.372,11.041,18707057,234320816.33,0.01373,0.002176620485135672,0.12778219409515668,-0.125605573610021,15.206301388732193,17.748799574383092,10.121305017430394,41.61798438280773,46.10570653101529,11.218,11.5601,11.750399999999999,12.705276547545612,10.795523452454386
2022-07-26,921,11.059,12.321,12.321,11.059,43743045,577684913.24,0.0321,0.06902352575352033,0.11602889814582754,-0.047005372392307204,35.46425055361303,23.65394990079307,59.08485185925294,68.02613879904868,60.58343157269088,11.4078,11.5198,11.781200000000002,12.76907908912824,10.793320910871763
2022-07-27,921,12.482,12.205,12.778,12.142,40186674,555454975.03,0.02949,0.11166909479089959,0.11515684474221811,-0.0034877499513185223,47.3685211604905,31.558806987358878,78.98794950675375,64.40229508755172,58.79722838696915,11.5672,11.517999999999999,11.79165,12.793420280422033,10.789879719577968
