date,symbol,open,close,high,low,volume,amount,turnover,macd,macds,macdh,kdjk,kdjd,kdjj,rsi_6,rsi_12,close_5_sma,close_10_sma,boll,boll_ub,boll_lb
2022-01-03,988,27.394,27.394,27.394,27.394,0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,44.444444444444436,11.111111111111114,,,27.394,27.394,27.394,,
2022-01-04,988,27.394,27.217,27.63,26.932,12434537,343905939.0,0.01237,-0.0039711538461553175,-0.0022061965811973985,-0.001764957264957919,35.83253740846864,41.573808765785834,24.349994693834248,0.0,0.0,27.3055,27.3055,27.3055,27.555815800540035,27.055184199459962
2022-01-05,988,27.246,26.529,27.335,26.45,9812351,266697764.0,0.00976,-0.026394877054080723,-0.012119590217624989,-0.014275286836455734,26.119996690391538,36.42253807398773,5.51491392319916,0.0,0.0,27.046666666666667,27.046666666666667,27.046666666666667,27.96059518320028,26.132738150133054
2022-01-06,988,26.47,26.263,26.637,26.234,8395844,224927652.0,0.00835,-0.04555058321807692,-0.023444452345149358,-0.022106130872927565,18.105785759210402,30.316953969061952,-6.316550660492702,0.0,0.0,26.850749999999998,26.850749999999998,26.850749999999998,27.93286690680813,25.768633093191866
2022-01-07,988,26.273,25.83,26.47,25.683,9282069,245277385.0,0.00923,-0.0722306195051452,-0.03795723410383446,-0.03427338540131074,14.587216186674397,25.07370804159943,-6.385767523175673,0.0,0.0,26.6466,26.6466,26.6466,27.954949035999185,25.338250964000814
2022-01-10,988,25.83,25.958,26.007,25.299,8523477,223004849.0,0.00848,-0.08143788909380234,-0.04974290908376764,-0.0316949800100347,19.148520214825673,23.098645432674843,11.248269779127334,11.062496623993951,9.121099708109895,26.3594,26.531833333333335,26.531833333333335,27.830114915528302,25.233551751138368
2022-01-11,988,25.978,25.988,26.47,25.84,8628425,228540390.0,0.00858,-0.08458081093171188,-0.05855945265083213,-0.02602135828087975,22.618389995926968,22.938560287092216,21.978049413596466,13.746136518413849,11.192186163717892,26.1136,26.45414285714286,26.45414285714286,27.708581073275976,25.199704641009742
2022-01-12,988,26.037,25.673,26.194,25.565,8563251,224360262.0,0.00852,-0.10030962916508557,-0.0685928051794506,-0.03171682398563497,20.42713201215664,22.101417528780356,17.07856097890921,9.959539371304146,8.875336503494523,25.9424,26.3565,26.3565,27.642542434314336,25.070457565685665
2022-01-13,988,25.742,25.132,25.919,25.083,11420731,295541966.0,0.01136,-0.13651626548911722,-0.08428346148100781,-0.05223280400810941,14.259365327827014,19.487400128462575,3.803295726555895,6.352869763651995,6.395048787491888,25.716199999999997,26.220444444444443,26.220444444444443,27.674255680854145,24.76663320803474
2022-01-14,988,25.142,25.231,25.506,24.995,10372659,266117056.0,0.01032,-0.15511470011216844,-0.10015377068214751,-0.05496092943002093,12.49169579729898,17.155498684741374,3.164090022414193,13.251285014706383,11.34118041182883,25.5964,26.121499999999997,26.121499999999997,27.62826024783123,24.614739752168767
2022-01-17,988,25.29,25.998,26.116,25.29,10483326,276281684.0,0.01043,-0.12551650450467022,-0.10570299192147571,-0.019813512583194512,22.61554648594861,18.97551461847712,29.895610220891584,48.51253892813189,38.71214053389937,25.604400000000005,25.981900000000003,26.11027272727273,27.541649712111898,24.67889574243356
2022-01-18,988,26.076,26.066,26.214,25.821,7923627,209628411.0,0.00788,-0.09837365793248054,-0.10412895836103853,0.005755300428557986,36.818809309755395,24.923279515569877,60.60986889812643,50.6467871424989,40.4890570676493,25.620000000000005,25.8668,26.106583333333333,27.471587085131926,24.74157958153474
2022-01-19,988,26.047,26.096,26.253,25.781,6531159,172854858.0,0.0065,-0.07524417571524467,-0.0980159348080085,0.02277175909276384,49.427228805373666,33.091262612171136,82.09916119177873,51.706589579923104,41.308034866047336,25.7046,25.823500000000003,26.10576923076923,27.412674010224908,24.798864451313552
2022-01-20,988,25.958,25.358,26.017,25.25,11861763,307058915.0,0.0118,-0.09972583955839553,-0.09837364815757633,-0.0013521914008191999,41.154875700757586,35.77913364169995,51.90635981887286,31.645972635329755,30.166895930175343,25.7498,25.732999999999997,26.052357142857144,27.370073023787906,24.73464126192638
2022-01-21,988,25.25,24.788,25.437,24.66,13838010,350305158.0,0.01376,-0.15074100529533752,-0.10922906045041758,-0.041511944844919935,29.793858201978356,33.784041828459415,21.81349094901624,23.276248891626338,24.580907598069317,25.6612,25.628800000000002,25.96806666666667,27.395876671367507,24.54025666196583
2022-01-24,988,24.847,25.103,25.25,24.532,9100155,230650693.0,0.00905,-0.16845170167210455,-0.12141663852008691,-0.04703506315201764,30.922033688012714,32.83003911497718,27.106022834083774,34.724963801643966,32.154700445999865,25.4822,25.5433,25.914,27.359619959279293,24.46838004072071
2022-01-25,988,25.132,24.454,25.506,24.385,9105751,231258338.0,0.00906,-0.22003117855877363,-0.141593898019642,-0.07843728053913163,21.84595250863944,29.1686769128646,7.20050370018911,25.366526981721663,26.23348555914285,25.1598,25.3899,25.82811764705882,27.396797487299164,24.25943780681848
2022-01-26,988,24.641,24.473,24.906,24.139,7813699,194443695.0,0.00777,-0.25563362141392076,-0.16482025148575846,-0.0908133699281623,19.830445791000866,26.055933205576686,7.379470961849222,26.066518565342022,26.66478252563853,24.8352,25.2699,25.75283333333333,27.403312800212042,24.10235386645462
2022-01-27,988,24.434,23.382,24.572,23.372,12229286,296455807.0,0.01216,-0.34987146342081843,-0.20237166680083513,-0.1474997966199833,13.335997760933372,21.815954724028913,-3.623916165257711,15.83371859818999,19.516776139626998,24.440000000000005,25.094900000000003,25.628052631578946,27.56611391643545,23.68999134672244
2022-01-28,988,23.834,24.041,24.464,23.51,14069433,344328835.0,0.01399,-0.3753265428326422,-0.23736610035708183,-0.13796044247556039,16.631033101758433,20.08764751660542,9.717804272064463,34.47782821879335,31.59927624973332,24.2906,24.9759,25.5487,27.564175192760153,23.533224807239847
2022-01-31,988,24.041,24.041,24.041,24.041,0,0.0,0.0,-0.39049538138013773,-0.2682770598410296,-0.12221832153910811,18.82772332897514,19.667672787395325,17.147824412134767,34.47782821879335,31.59927624973332,24.078200000000002,24.7802,25.38105,27.306014139105482,23.456085860894515
2022-02-01,988,24.041,24.041,24.041,24.041,0,0.0,0.0,-0.39758636179578133,-0.29433116560038486,-0.10325519619539647,20.982817443009267,20.106054339266638,22.736343650494526,34.47782821879335,31.59927624973332,23.9956,24.5777,25.22225,27.0299374293155,23.4145625706845
2022-02-02,988,24.041,24.041,24.041,24.041,0,0.0,0.0,-0.39837230429709436,-0.3152629528026147,-0.08310935149447968,24.438404380937765,21.55017101982368,30.214871103165933,34.477828218793334,31.59927624973332,23.9092,24.3722,25.09785,26.868962320727178,23.326737679272824
2022-02-03,988,24.041,24.041,24.041,24.041,0,0.0,0.0,-0.39428065333896356,-0.33114147712092273,-0.06313917621804083,26.74212900622343,23.280823681956928,33.66473965475644,34.477828218793334,31.59927624973332,24.041,24.2405,24.986749999999997,26.72864719619307,23.244852803806925
2022-02-04,988,24.041,24.041,24.041,24.041,0,0.0,0.0,-0.38646278367784603,-0.34224769654298753,-0.0442150871348585,28.27794542308054,24.94653092899813,34.94077441124536,34.477828218793334,31.59927624973332,24.041,24.1658,24.8973,26.640607455445128,23.153992544554875
2022-02-07,988,24.287,23.825,24.464,23.677,10934327,266056557.0,0.01087,-0.39101469650701404,-0.3520306637398848,-0.03898403276712925,28.695509899611267,26.19619058586917,33.69414852709546,28.334835314993967,29.179223276037476,23.9978,24.038,24.790650000000003,26.521672365996174,23.05962763400383
2022-02-08,988,23.893,23.775,23.893,23.392,8409458,201805914.0,0.00836,-0.39353630507190474,-0.3603519115489443,-0.03318439352296043,30.32478437751859,27.572388516418975,35.82957609971781,26.998611989024354,28.625608993533206,23.9446,23.9701,24.68,26.37122266578449,22.98877733421551
2022-02-09,988,23.746,23.982,24.139,23.677,9241457,224921127.0,0.00919,-0.37611418061446855,-0.36351047491213334,-0.01260370570233521,38.56229406262434,31.235690365154095,53.21550145756482,40.85520532883822,34.25886703047453,23.932799999999997,23.921,24.595450000000003,26.246242023624784,22.944657976375222
