date,symbol,open,close,high,low,volume,amount,turnover,macd,macds,macdh,kdjk,kdjd,kdjj,rsi_6,rsi_12,close_5_sma,close_10_sma,boll,boll_ub,boll_lb
2022-01-03,157,5.976,5.976,5.976,5.976,0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,44.444444444444436,11.111111111111114,,,5.976,5.976,5.976,,
2022-01-04,157,5.976,6.009,6.017,5.951,44245779,318023328.0,0.0051,0.0007403846153843929,0.00041132478632466274,0.0003290598290597302,51.51515151515155,46.80134680134681,60.942760942761026,100.0,100.0,5.9925,5.9925,5.9925,6.039169047558313,5.945830952441686
2022-01-05,157,6.017,6.051,6.084,5.992,72619150,526369121.0,0.00837,0.0022458144434560623,0.0011631648097391706,0.0010826496337168917,59.4060909850385,51.002928195910705,76.2124165632941,100.0,100.0,6.0120000000000005,6.0120000000000005,6.0120000000000005,6.087179784516851,5.9368202154831495
2022-01-06,157,6.017,6.184,6.201,6.009,121626584,897074996.0,0.01402,0.0076773885739207515,0.0033698801770093534,0.004307508396911398,70.67072732335907,57.55886123839349,96.89445949329024,100.0,100.0,6.055,6.055,6.055,6.237625299452185,5.872374700547814
2022-01-07,157,6.167,6.392,6.451,6.142,199492946,1523736752.0,0.02299,0.018743995054339102,0.007943331770693833,0.010800663283645269,76.51381821557277,63.87718023078658,101.78709418514515,100.0,100.0,6.122400000000001,6.122400000000001,6.122400000000001,6.462795652146148,5.782004347853854
2022-01-10,157,6.442,6.392,6.517,6.334,102266607,784817331.0,0.01178,0.025044201566399416,0.012578618275297868,0.012465583291101548,76.98094359247844,68.24510135135053,94.45262807473426,100.0,100.0,6.2056000000000004,6.1673333333333344,6.1673333333333344,6.543034633127023,5.791632033539646
2022-01-11,157,6.392,6.334,6.442,6.284,81210678,618356318.0,0.00936,0.026025709986723378,0.01598171845169643,0.010043991535026948,73.87657723597499,70.12225997955868,81.38521174880762,81.4654221185508,84.98323426366422,6.2706,6.191142857142857,6.191142857142857,6.556518332640651,5.825767381645064
2022-01-12,157,6.326,6.284,6.334,6.209,62790461,471552317.0,0.00724,0.023887392253804762,0.017881600532571863,0.0060057917212329,68.86235891114468,69.70229295675401,67.18249081992604,68.3585566777808,74.46677543719963,6.3172,6.20275,6.20275,6.5473354652435924,5.8581645347564075
2022-01-13,157,6.259,6.226,6.342,6.217,65220474,489809625.0,0.00752,0.019165599445861936,0.018178210651493328,0.0009873887943686079,62.103763420150635,67.16944977788621,51.97239070467947,55.85045319860919,64.3843877903339,6.3256,6.205333333333333,6.205333333333333,6.528035982842134,5.882630683824532
2022-01-14,157,6.217,6.234,6.259,6.151,57959596,431196891.0,0.00668,0.0159493233474004,0.01767881050864608,-0.0017294871612456783,58.06917561343375,64.13602505640205,45.93547672749716,57.148260684170644,65.09549146750467,6.294,6.2082,6.2082,6.512986701372179,5.903413298627821
2022-01-17,157,6.234,6.226,6.259,6.176,40139475,299121535.0,0.00463,0.012975310467682633,0.016649711575181844,-0.0036744011074992117,53.56992659943201,60.613992237412035,39.48179532347197,55.20105144730695,63.7078601610626,6.2608,6.2332,6.209818181818182,6.499163398722583,5.920472964913781
2022-01-18,157,6.226,6.367,6.376,6.159,95077223,717219162.0,0.01096,0.018363652165036548,0.017017794133989708,0.0013458580310468406,59.20409804791528,60.14402750757978,57.32423912858627,73.96382802471129,74.25842966349909,6.2674,6.269,6.222916666666666,6.513338877604571,5.9324944557287616
2022-01-19,157,6.334,6.384,6.476,6.317,85570583,657521422.0,0.00986,0.023076489818773638,0.018300024638400955,0.004776465180372683,60.9805098097213,60.422854941626944,62.095819545910004,75.45136474104099,75.20645579787299,6.2874,6.3023,6.235307692307692,6.527369768603565,5.9432456160118186
2022-01-20,157,6.351,6.351,6.426,6.251,73277319,556708247.0,0.00844,0.024391842509274397,0.01957443748218892,0.0048174050270854765,58.868609454203984,59.904773112485955,56.79628213764005,66.58918549440097,69.7654492645342,6.312399999999999,6.319000000000001,6.243571428571428,6.53090903679371,5.956233820349147
2022-01-21,157,6.317,6.259,6.367,6.226,47205818,355470346.0,0.00544,0.019613170644977806,0.019582466614733705,3.0704030244101815e-05,50.32266271305912,56.71073631267701,37.54651551382334,47.8047044521387,57.183277327049055,6.3174,6.3057,6.2446,6.521600051572972,5.967599948427028
2022-01-24,157,6.284,6.201,6.292,6.167,32506250,242254097.0,0.00375,0.012222946882789465,0.018067932317747695,-0.00584498543495823,38.67664693691118,50.69937318742173,14.631194435890094,39.3969580970602,50.873221685802235,6.3124,6.2866,6.241875,6.510368947790263,5.973381052209738
2022-01-25,157,6.176,5.926,6.201,5.926,56110798,407097879.0,0.00647,-0.010583066385824402,0.012205727458944906,-0.022788793844769308,25.78443129127412,42.39439255537253,-7.435491236922687,19.691790865710857,32.38754272098258,6.224200000000001,6.2458,6.223294117647059,6.525056246405692,5.921531988888427
2022-01-26,157,5.926,6.001,6.026,5.926,28728580,206152172.0,0.00331,-0.023190125943892248,0.004996690310312351,-0.0281868162542046,21.73507540630397,35.507953505683005,-5.810680792454093,30.98842780920242,38.98394893888472,6.1476,6.2175,6.210944444444444,6.521886445635302,5.9000024432535865
2022-01-27,157,5.984,5.884,5.992,5.867,34684542,246460322.0,0.004,-0.04010211529678198,-0.004154959991552283,-0.0359471553052297,15.420537408253022,28.81214813987301,-11.362684054986957,24.52922522961839,33.43297865256021,6.0542,6.183300000000001,6.193736842105263,6.531104983988718,5.856368700221808
2022-01-28,157,5.901,5.876,5.951,5.817,31030035,219095388.0,0.00358,-0.0531745366415759,-0.014073225133259672,-0.03910131150831622,13.264677948445877,23.62965807606396,-7.465282306790293,24.116763406874014,33.081610493586055,5.977600000000001,6.1475,6.17785,6.535646340188985,5.820053659811015
2022-01-31,157,5.876,5.876,5.876,5.876,0,0.0,0.0,-0.06263732586652804,-0.02387646420100135,-0.03876086166552668,11.827438308574449,19.695584820234124,-3.908854714744905,24.116763406874014,33.081610493586055,5.9126,6.1125,6.17285,6.545028946772992,5.800671053227009
2022-02-01,157,5.876,5.876,5.876,5.876,0,0.0,0.0,-0.06921717138629901,-0.033012014098433094,-0.03620515728786592,11.114296584479307,16.835155408315853,-0.32742106319378195,24.116763406874014,33.081610493586055,5.9026,6.0634,6.1662,6.555083746666087,5.777316253333913
2022-02-02,157,5.876,5.876,5.876,5.876,0,0.0,0.0,-0.07349957239776828,-0.04115760886292372,-0.03234196353484456,10.985288632077125,14.885199816236277,3.185466263758819,24.116763406874014,33.081610493586055,5.8776,6.0126,6.15745,6.5646894743559185,5.750210525644081
2022-02-03,157,5.876,5.876,5.876,5.876,0,0.0,0.0,-0.07595808707258556,-0.04815072857901405,-0.027807358493571507,11.46387663191108,13.744758754794542,6.902112386144161,24.116763406874014,33.081610493586055,5.876,5.9651,6.14205,6.567929881755656,5.716170118244344
2022-02-04,157,5.876,5.876,5.876,5.876,0,0.0,0.0,-0.07697678162393906,-0.05393780213375008,-0.02303897949018898,12.764112199051851,13.417876569546976,11.456583458061601,24.116763406874014,33.081610493586055,5.876,5.9268,6.11625,6.540890962895034,5.691609037104966
2022-02-07,157,5.951,6.042,6.076,5.926,40879287,294656686.0,0.00471,-0.06521173469793862,-0.05619942397919569,-0.009012310718742929,37.4669370902302,21.434230076441384,69.53235111780785,62.83605101976988,51.0675691119676,5.9092,5.910900000000001,6.09875,6.503945144668786,5.693554855331214
2022-02-08,157,6.167,6.259,6.317,6.117,79018911,589546740.0,0.00911,-0.039901680887361124,-0.05293197515433147,0.013030294266970346,54.444624726820145,32.437694959900966,98.45848426065851,79.35810355592699,64.6260689684218,5.9858,5.9442,6.095,6.492340103557063,5.697659896442937
2022-02-09,157,6.251,6.284,6.317,6.209,63266526,475676384.0,0.00729,-0.01791398106890174,-0.04591480315258378,0.028000822083682042,67.42974981788007,44.101713245894,114.0858229618522,80.55332667022641,65.816489334063,6.067400000000001,5.9725,6.095000000000001,6.492340103557064,5.6976598964429375
2022-02-10,157,6.276,6.259,6.301,6.209,39903124,299297898.0,0.0046,-0.002352294913445796,-0.037188798666836324,0.03483650375339053,73.90252406603948,54.03531685260916,113.63693849290013,75.31985238477152,63.485811428810855,6.144,6.01,6.09665,6.496546447122319,5.696753552877682
2022-02-11,157,6.226,6.326,6.367,6.209,79726407,603860509.0,0.00919,0.014689637211481532,-0.026800251092180066,0.0414898883036616,79.81824754436573,62.62962708319468,114.19548846670784,79.58530847941188,66.91150072738044,6.234,6.055000000000001,6.10125,6.50982125900412,5.692678740995881
2022-02-14,157,6.292,6.159,6.292,6.134,50000088,371605521.0,0.00576,0.015615774813949379,-0.018308636222918298,0.03392441103686768,72.42465654349431,65.89463690329455,85.48469582389382,52.464354102715625,53.31153700373865,6.2574,6.0833,6.0979,6.503250478630921,5.692549521369079
