证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,货币资金,其中:客户资金存款,结算备付金,其中：客户备付金,现金及存放中央银行款项,存放同业款项,贵金属,拆出资金净额,交易性金融资产,衍生金融资产,短期投资净额,应收票据净额,应收账款净额,应收款项融资,预付款项净额,应收保费净额,应收分保账款净额,应收代位追偿款净额,应收分保合同准备金净额,其中:应收分保未到期责任准备金净额,其中:应收分保未决赔款准备金净额,其中:应收分保寿险责任准备金净额,其中:应收分保长期健康险责任准备金净额,应收利息净额,应收股利净额,其他应收款净额,买入返售金融资产净额,存货净额,其中：数据资源（存货）,合同资产,持有待售资产,一年内到期的非流动资产,存出保证金,其他流动资产,流动资产合计,保户质押贷款净额,定期存款,发放贷款及垫款净额,债权投资,以摊余成本计量的金融资产,可供出售金融资产净额,其他债权投资,以公允价值计量且其变动计入其他综合收益的债务工具投资,持有至到期投资净额,长期应收款净额,长期股权投资净额,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,其他非流动金融资产,长期债权投资净额,长期投资净额,存出资本保证金,独立账户资产,投资性房地产净额,固定资产净额,在建工程净额,工程物资,固定资产清理,生产性生物资产净额,油气资产净额,使用权资产,无形资产净额,其中:交易席位费,其中：数据资源（无形资产）,开发支出,其中：数据资源（开发支出）,商誉净额,长期待摊费用,递延所得税资产,代理业务资产,其他非流动资产,非流动资产合计,其他资产,资产总计,短期借款,其中:质押借款,应付短期融资款,向中央银行借款,吸收存款及同业存放,其中：同业及其他金融机构存放款项,其中：吸收存款,拆入资金,交易性金融负债,衍生金融负债,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付赔付款,应付保单红利,保户储金及投资款,保险合同准备金,其中:未到期责任准备金,其中:未决赔款准备金,其中:寿险责任准备金,其中:长期健康险责任准备金,其他应付款,应付分保账款,代理买卖证券款,代理承销证券款,预收保费,持有待售负债,一年内到期的非流动负债,其他流动负债,递延收益-流动负债,流动负债合计,长期借款,独立账户负债,应付债券,租赁负债,长期应付款,长期应付职工薪酬,专项应付款,长期负债合计,预计负债,代理业务负债,递延所得税负债,其他非流动负债,递延收益-非流动负债,非流动负债合计,其他负债,负债合计,实收资本(或股本),其他权益工具,其中：优先股,其中：永续债,其中：其他,资本公积,减：库存股,盈余公积,一般风险准备,未分配利润,外币报表折算差额,加：未确认的投资损失,交易风险准备,专项储备,其他综合收益,归属于母公司所有者权益合计,少数股东权益,所有者权益合计,负债与所有者权益总计
988,华工科技,2022-01-01,A,0,,3320034032.65,,,,,,,,123035975.15,,,193651250.4,3008647664.39,396345125.96,301994774.86,,,,,,,,,,,85383867.9,,2045938125.34,,476517657.24,,,,20748926.25,9972297400.14,,,,,,,,,,,566933300.68,20300000.0,,,,,,,,,1653318746.81,45800716.43,,,,,40377992.82,264230469.0,,,58806479.31,,,58864349.4,126479801.41,,1076446421.61,3911558277.47,,13883855677.61,570551622.61,,,,,,,,,,1237663167.16,1867700966.1,,355451140.32,,,253121392.57,159958041.32,724747.97,172008.09,,,,,,,,,133612606.24,,,,,,13492026.86,347365090.33,,4938916053.51,1280903866.67,,,26310566.98,,,,1307214433.65,,,17908321.45,,191138872.93,1516261628.03,,6455177681.54,1005502707.0,,,,,2663151180.95,,143071272.92,,3565421491.92,,,,,11655481.59,7388802134.38,39875861.69,7428677996.07,13883855677.61
988,华工科技,2022-03-31,A,0,,2716783837.74,,,,,,,,103630023.33,,,221684857.17,2884600228.89,495744733.99,231231370.86,,,,,,,,,,,83184226.55,,2345147193.63,,594131814.0,,,,41446789.5,9717585075.66,,,,,,,,,,,580558028.75,20300000.0,,,,,,,,,1649206932.68,47703270.93,,,,,39991662.55,255415490.05,,,56181219.27,,,58235073.3,123210329.01,,2058686016.71,4889488023.25,,14607073098.91,948996472.64,,,,,,,,,,1384740026.53,1860011237.81,,385838352.43,,,122622320.93,151593395.92,2209252.7,172008.09,,,,,,,,,136163833.0,,,,,,13276026.86,512441251.95,,5515682918.07,1214106500.0,,,27051190.8,,,,1241157690.8,,,18355736.35,,175735326.45,1435248753.6,,6950931671.67,1005502707.0,,,,,2668324605.95,,143071272.92,,3791395324.97,,,,,11635727.77,7619929638.61,36211788.63,7656141427.24,14607073098.91
988,华工科技,2022-06-30,A,0,,3019313833.99,,,,,,,,132736904.59,,,281380499.23,3416966738.27,599803836.89,302310101.17,,,,,,,,,,,101002485.11,,2409746930.21,,779596695.41,,,,52315063.41,11095173088.28,,,,,,,,,,,713416073.19,20300000.0,,,,,,,,,1635405999.32,46035194.76,,,,,33783528.93,285433452.59,,,24384665.9,,,55962423.47,124011785.46,,2106000679.57,5044733803.19,,16139906891.47,1064978756.67,,,,,,,,,,1693372746.53,2366062181.31,,339157888.31,,,61102814.42,177372012.84,1979937.37,172008.09,,,,,,,,,99272020.0,,,,,,525422914.94,552296498.89,,6879037833.91,1098307250.0,,,20545303.48,,,,1118852553.48,,,54596268.79,,169003606.81,1342452429.08,,8221490262.99,1005502707.0,,,,,2673498030.95,,143071272.92,,4048290336.91,,,,,12063508.28,7882425856.06,35990772.42,7918416628.48,16139906891.47
988,华工科技,2022-09-30,A,0,,3192943239.63,,,,,,,,127291088.71,,,223088350.12,3378298901.39,674069544.95,353045507.85,,,,,,,,,,,98896597.2,,2404916430.31,,586378685.86,,,,55484279.55,11094412625.57,,,,,,,,,,,699334938.58,20300000.0,,,,,,,,,1735269188.71,45186086.13,,,,,32592508.51,274017248.62,,,38851595.01,,,51294385.02,127573263.84,,2125668504.72,5150087719.14,,16244500344.71,1081469717.95,,,,,,,,,,1589496003.78,2119224141.81,,416591748.53,,,83015413.81,144677334.6,2748287.37,172008.09,,,,,,,,,98209731.08,,,,,,525422914.94,571262733.87,,6629369740.37,1296023072.5,,,19525913.41,,,,1315548985.91,,,50176723.91,,169150866.96,1534876576.78,,8164246317.15,1005502707.0,,,,,2678671455.95,,143071272.92,,4207207338.34,,,,,11958051.46,8046410825.67,33843201.89,8080254027.56,16244500344.71
988,华工科技,2022-12-31,A,0,,3355970250.42,,,,,,,,116092859.54,,,154162671.2,3633761624.35,521076888.4,393204654.09,,,,,,,,,,,92163479.81,,2378114167.64,,804496677.73,,,,40817074.98,11489860348.16,,,,,,,,,,,821349960.57,5300000.0,,,,,,,,,1758935117.05,39724687.28,,,,,56504609.47,267769369.4,,,46464599.56,,,50908694.16,125993434.71,,2129902083.3,5302852555.5,,16792712903.66,739352437.25,,,,,,,,,,1471145708.45,2642691119.95,,475724226.65,,,276693343.9,169494269.14,,172008.09,,,,,,,,,113340169.94,,,,,,731102914.08,95723415.95,,6715267605.31,1496515513.44,,,37518627.79,,,,1534034141.23,,,64938425.73,,215261365.15,1814233932.11,,8529501537.42,1005502707.0,,,,,2685661452.34,,148336561.53,,4385954017.63,,,,,12103763.96,8237558502.46,25652863.78,8263211366.24,16792712903.66
988,华工科技,2023-01-01,A,1,2024-03-28,3355970250.42,,,,,,,,116092859.54,,,154162671.2,3633761624.35,521076888.4,393204654.09,,,,,,,,,,,92163479.81,,2378114167.64,,804496677.73,,,,40817074.98,11489860348.16,,,,,,,,,,,821349960.57,5300000.0,,,,,,,,,1758935117.05,39724687.28,,,,,56504609.47,267769369.4,,,46464599.56,,,50908694.16,136514345.68,,2129902083.3,5313373466.47,,16803233814.63,739352437.25,,,,,,,,,,1471145708.45,2642691119.95,,475724226.65,,,276693343.9,169494269.14,,172008.09,,,,,,,,,113340169.94,,,,,,731102914.08,95723415.95,,6715267605.31,1496515513.44,,,37518627.79,,,,1534034141.23,,,75592271.03,,215261365.15,1824887777.41,,8540155382.72,1005502707.0,,,,,2685661452.34,,148336561.53,,4385812750.39,,,,,12103763.96,8237417235.22,25661196.69,8263078431.91,16803233814.63
988,华工科技,2023-03-31,A,0,,4209931825.87,,,,,,,,104011519.99,,,192733930.67,3394213944.45,543202424.21,554577413.72,,,,,,,,,,,73008943.4,,2179300371.97,,1029621915.46,,,,16659388.68,12297261678.42,,,,,,,,,,,867646164.88,5300000.0,,,,,,,,,1736573680.21,70879782.29,,,,,54388296.32,259059391.48,,,52349665.24,,,49545669.3,123981474.91,,2105066199.08,5324790323.71,,17622052002.13,346464025.37,,,,,,,,,,1617635395.9,2735881621.47,,459000248.09,,,37151063.71,107178277.31,,100722278.79,,,,,,,,,214407569.79,,,,,,721296063.05,53505611.77,,6292519876.46,2530756251.55,,,48095945.29,,,,2578852196.84,,,74597268.03,,204170755.82,2857620220.69,,9150140097.15,1005502707.0,,,,,2686270595.89,,148336561.53,,4593518004.6,,,,,11826666.86,8445454535.88,26457369.1,8471911904.98,17622052002.13
988,华工科技,2023-06-30,A,0,,4100892569.72,,,,,,,,84312965.49,,,251993592.68,3381102234.8,609160903.9,343029691.2,,,,,,,,,,,86277693.66,,2345541875.64,,1071265314.66,,,,46742779.87,12320319621.62,,,,,,,,,,,717759981.06,5300000.0,,,,,,,,,1712730907.13,117466471.81,,,,,46086376.65,246765206.34,,,57176326.63,,,45312689.65,125838869.96,,2063671702.49,5138108531.72,,17458428153.34,209196264.36,,,,,,,,,,1821306350.3,2453626099.74,,467496678.76,,,74468352.84,126963165.9,,172008.09,,,,,,,,,111465382.34,,,,,,242993705.2,55308794.86,,5562824794.3,2872761746.75,,,28215306.68,,,,2900977053.43,,,42088304.22,,203637078.22,3146702435.87,,8709527230.17,1005502707.0,,,,,2691074844.49,,148336561.53,,4867201386.85,,,,,12372894.35,8724488394.22,24412528.95,8748900923.17,17458428153.34
988,华工科技,2023-09-30,A,0,,4337908464.17,,,,,,,,88486704.02,,,197105504.2,3454691967.37,598274785.97,590671881.14,,,,,,,,,,,96599828.66,,2268249558.66,,650376974.38,,,,34074932.19,12316440600.76,,,,,,,,,,,694100276.15,5300000.0,,,5003300.0,,,,,,1804720919.04,49734015.42,,,,,41497155.82,234760493.97,,,69845249.4,,,42131296.02,128028360.88,,2084171702.49,5159292769.19,,17475733369.95,65881457.75,,,,,,,,,,1654372401.42,2466284933.91,,523921531.6,,,83882534.78,122880988.84,,172008.09,,,,,,,,,117429708.97,,,,,,244321685.18,55796826.83,,5334772069.28,2871093946.76,,,24655258.65,,,,2895749205.41,,,42783609.19,,218597353.14,3157130167.74,,8491902237.02,1005502707.0,,,,,2696248269.49,,148336561.53,,5097213778.96,,,,,12325026.64,8959626343.62,24204789.31,8983831132.93,17475733369.95
988,华工科技,2023-12-31,A,0,,4355621800.66,,,,,,,,125466318.66,,,165138775.15,3700039426.68,508397551.6,481949547.03,,,,,,,,,,,115758966.28,,1889071813.87,,592122056.37,,1060213698.63,,46582657.13,13040362612.06,,,,,,,,,,,692170328.96,5300000.0,,,25003300.0,,,,,,1929765477.51,58457272.04,,,,,24244119.79,375073770.65,,,25180676.76,,,36959419.44,166481308.69,,1028675344.32,4367311018.16,,17407673630.22,49035300.51,,,,,,,,351775.0,,1623621415.46,2526208958.16,,447239907.72,,,329998764.5,119255488.22,,172008.09,,,,,,,,,104258263.81,,,,,,153464436.38,71860112.99,,5425294422.75,2514024242.0,,,12753836.73,,,,2526778078.73,23782725.36,,59027550.78,,195445146.12,2805033500.99,,8230327923.74,1005502707.0,,,,,2699183963.0,,148336561.53,,5292173546.93,,,,,11997981.59,9157194760.05,20150946.43,9177345706.48,17407673630.22
988,华工科技,2024-01-01,A,0,,4396257688.55,,,,,,,,125466318.66,,,167215467.59,3757574537.5,527926352.53,488982055.68,,,,,,,,,,,117104950.3,,1909119747.84,,592122056.37,,1060213698.63,,47873272.99,13189856146.64,,,,,,,,,,,562885092.47,5300000.0,,,25003300.0,,,,,,1994062116.2,58863622.56,,,,,24244119.79,386426746.83,,,33004483.15,,,39420141.37,167350109.69,,1028675344.32,4325235076.38,,17515091223.02,59035300.51,,,,,,,,351775.0,,1634681233.2,2563401273.13,,448003150.37,,,331560463.25,120001398.77,,172008.09,,,,,,,,,104140545.97,,,,,,153464436.38,71959334.52,,5486598911.1,2514024242.0,,,12753836.73,,,,2526778078.73,23782725.36,,52111728.45,,195887368.34,2798559900.88,,8285158811.98,1005502707.0,,,,,2713362621.22,,148336561.53,,5247306121.2,,,,,11997981.59,9126505992.54,103426418.5,9229932411.04,17515091223.02
988,华工科技,2024-03-31,A,0,,4199738220.12,,,,,,,,123402510.66,,,176850307.6,3664803706.97,474373481.93,576228996.36,,,,,,,,,,,95563987.52,,2091214837.81,,650348705.72,,2040713698.63,,53777697.75,14147016151.07,,,,,,,,,,,725558720.92,5300000.0,,,69803300.0,,,,,,1927884113.33,77654417.15,,,,,27184450.83,365929280.53,,,28922191.27,,,35372519.83,164419685.76,,11433962.0,3439462641.62,,17586478792.69,38868821.43,,,,,,,,,,1609014492.83,2510969834.27,,447692128.77,,,137536597.9,71239339.5,,172008.09,,,,,,,,,102904836.14,,,,,,144611870.06,51504404.19,,5114342325.09,2751284867.85,,,22765234.53,,,,2774050102.38,22613716.25,,54749613.19,,148875150.8,3000288582.62,,8114630907.71,1005502707.0,,,,,2704357388.0,,148336561.53,,5582041232.44,,,,,12212921.92,9452450810.89,19397074.09,9471847884.98,17586478792.69
988,华工科技,2024-06-30,A,0,,3411970182.17,,,,,,,,120870375.2,,,305537028.29,3528701735.36,590350123.56,615264177.2,,,,,,,,,,,101452973.58,,2881357397.68,,930992883.19,,1021761205.48,,105537267.5,13613795349.21,,,,,,,,,,,725466037.4,5300000.0,,,69803300.0,,,,,,1982702647.34,111856215.89,,,,,25572191.34,352325377.31,,,57050785.46,,,38282813.54,169421882.75,,1561807338.5,5099588589.53,,18713383938.74,168847500.0,,,,,,,,,,1897700267.61,3136028628.5,,324104023.12,,,160868811.88,86274953.41,,172008.09,,,,,,,,,89655817.23,,,,,,617793675.22,69094993.93,,6550368670.9,2281023825.0,,,15223287.49,,,,2296247112.49,25263035.93,,51181907.32,,130483989.25,2503176044.99,,9053544715.89,1005502707.0,,,,,2707806338.0,,148336561.53,,5766219096.42,,,,,11117894.96,9638982597.91,20856624.94,9659839222.85,18713383938.74
988,华工科技,2024-09-30,A,0,,3585275442.54,,,,,,,,124788034.04,,,530630197.89,4188481311.48,618224066.95,613835253.67,,,,,,,,,,,100917207.67,,2709279842.58,,907195283.66,,1048408986.3,,59205598.14,14486241224.92,,,,,,,,,,,614387137.21,5300000.0,,,69803300.0,,,,,,2125664059.41,161439434.1,,,,,31440850.28,342448725.75,,,110933360.67,,496009.78,64143652.66,155872225.21,,1553433962.0,5235362717.07,,19721603941.99,421765280.7,,,,,,,,,,1958105906.62,3220536319.92,,496860348.94,,,152750343.16,27805667.74,,172008.09,,,,,,,,,89354972.99,,,,,,606662738.65,61732515.35,,7035574094.07,2414335573.08,,,29121244.53,,,,2443456817.61,19950757.54,,45683159.67,,133958557.89,2643049292.71,,9678623386.78,1005502707.0,,,,,2678746648.99,,148336561.53,,6073271323.73,,,,,12512536.65,9918369777.9,124610777.31,10042980555.21,19721603941.99
